Cuvee_ID,Provenance,statut,Cave_id,Ajouté_le,Emplacement,Prix
1,Achat Fervier vente à la propriété.com,à boire,2,06/02/2020,Clayette 1 & 6,"19,00"
1,Achat Fervier vente à la propriété.com,à boire,2,06/02/2020,Clayette 1 & 6,"19,00"
12,Soirée 01/01/18 Pascal,à boire,2,01/01/2018,,"0,00"
14,SVI Dec 21,à boire,2,02/12/2021,,"12,70"
14,SVI Dec 21,à boire,2,02/12/2021,,"12,70"
14,SVI Dec 21,à boire,2,02/12/2021,,"12,70"
14,SVI Dec 21,à boire,2,02/12/2021,,"12,70"
15,SVI Dec 21,à boire,2,02/12/2021,,"21,70"
15,SVI Dec 21,à boire,2,02/12/2021,,"21,70"
15,SVI Dec 21,à boire,2,02/12/2021,,"21,70"
16,SVI Dec 21,à boire,2,02/12/2021,,"21,70"
16,SVI Dec 21,à boire,2,02/12/2021,,"21,70"
16,SVI Dec 21,à boire,2,02/12/2021,,"21,70"
18,Achat UnP St Emilion Avril 14,à boire,3,16/04/2014,,"20,00"
18,Achat UnP St Emilion Avril 14,à boire,3,16/04/2014,,"20,00"
23,SVI Dec 21,à boire,1,02/12/2021,,"32,00"
23,SVI Dec 21,à boire,1,02/12/2021,,"32,00"
23,SVI Dec 21,à boire,1,02/12/2021,,"32,00"
24,SVI Dec 21,à boire,2,02/12/2021,,"10,60"
24,SVI Dec 21,à boire,2,02/12/2021,,"10,60"
24,SVI Dec 21,à boire,2,02/12/2021,,"10,60"
24,SVI Dec 21,à boire,2,02/12/2021,,"10,60"
25,Achats Vignerons Indep Avril 2015,à boire,1,12/05/2015,,"37,00"
27,Achats Vignerons Indep Avril 2015,à boire,1,12/05/2015,,"18,00"
30,Achat 1j1V Nov 2016,à boire,3,17/12/2016,,"14,00"
31,SVI Dec 21,à boire,2,02/12/2021,,"13,00"
31,SVI Dec 21,à boire,2,02/12/2021,,"13,00"
31,SVI Dec 21,à boire,2,02/12/2021,,"13,00"
32,SVI Dec 21,à boire,2,02/12/2021,,"32,00"
32,SVI Dec 21,à boire,2,02/12/2021,,"32,00"
32,SVI Dec 21,à boire,2,02/12/2021,,"32,00"
37,SVI Mars 2017,à boire,3,28/04/2017,,"42,00"
38,SVI Nov 2019,à boire,1,29/11/2019,,"18,50"
38,SVI Nov 2019,à boire,1,29/11/2019,,"18,50"
38,SVI Nov 2019,à boire,1,29/11/2019,,"18,50"
38,SVI Nov 2019,à boire,1,29/11/2019,,"18,50"
38,SVI Nov 2019,à boire,2,29/11/2019,,"18,50"
44,Achat Avril 14,à boire,3,16/04/2014,,"13,00"
44,Achat Avril 14,à boire,3,16/04/2014,,"13,00"
44,Achat Avril 14,à boire,3,16/04/2014,,"13,00"
44,Achat Avril 14,à boire,2,16/04/2014,,"13,00"
46,Achat Avril 14,à boire,2,16/04/2014,Clayette 1,"7,50"
49,SVI Mars 2017,à boire,3,28/04/2017,,"29,00"
49,SVI Mars 2017,à boire,3,28/04/2017,,"29,00"
49,SVI Mars 2017,à boire,3,28/04/2017,,"29,00"
49,SVI Mars 2017,à boire,3,28/04/2017,,"29,00"
49,SVI Mars 2017,à boire,3,28/04/2017,,"29,00"
49,SVI Mars 2017,à boire,3,28/04/2017,,"29,00"
49,SVI Mars 2017,à boire,3,28/04/2017,,"29,00"
49,SVI Mars 2017,à boire,3,28/04/2017,,"29,00"
