Appellation,Domaine,Cuvée,Année
1097,A et P de VILLAINE,,2010
1097,A et P de VILLAINE,,2011
1097,A et P de VILLAINE,,2014
1097,A et P de VILLAINE,,2016
2790,Alain Fourrier,Expression des Roches,2009
3025,Alain Graillot,,2009
1150,Albert Bichot,,2011
1999,Albert Bichot,,2013
1142,Albert Bichot ,Vaucoupin,2013
1469,Alphonse Cornu,,2014
3296,Anatheme,,2016
3171,André & Michel Quenard , terres Brunes,2015
2241,André Bonhomme,Tradition,2020
2241,André Bonhomme,Les quarts,2019
2241,André Bonhomme,Les hauts des menards,2019
1912,Aurélien Verdet,,2007
876,Aurelius,,2010
2182,Bachey-Legros, La comme vieilles vignes,2012
2662,Baron de la Varière,,2011
838,Baron de Lestac,,2010
2580,Bastide Miraflors,,2013
3025,Belle,Cuvée Louis Belle,2019
813,Bergeron,,2020
2376,Berthet Bondet,,2007
2377,Berthet Bondet , Savagnier,2013
2377,Berthet Bondet , Savagnin,2010
2377,Berthet Bondet , Tradition,2011
999,Bitouzet Prieux, Beaunes Cent Vignes,2010
2547,Borie La Vitarèle , les Schistes,2014
2970,Bracoud,Viognier,2018
2962,Bracoud,,2018
2325,Brassard,,2010
2754,Bruno Cormerais , cuvée prestige,2011
2754,Bruno Cormerais , cuvée vieille vigne,2013
1053,Cachat Ocquidant,,2015
1302,Cachat Ocquidant,,2015
1916,Cachat Ocquidant,,2018
3235,Camin Larredya , Au capcèu,2014
3235,Camin Larredya , Costat Darrer,2014
3235,Camin Larredya , La part davant,2014
3236,Camin Larredya , La virada,2014
879,Capbern Gasqueton,,2005
3238,Capmartin , Cuvée du couvent,2011
3238,Capmartin , Cuvée du couvent,2008
3238,Capmartin , Cuvée vieilles vignes,2011
2767,Carroy , L’éclat,2013
2767,Carroy , l’éphémère,2013
3235,Cauhapé,Noblesse du temps,2014
3235,Cauhapé,Folie de Janvier,2010
3236,Cauhapé,C de Cauhapé,2019
3236,Cauhapé,Quatre Temps,2019
3235,Cauhapé , Noblesse du temps,2012
3235,Cauhapé , Symphonie de Novembre,2012
3236,Cauhapé , La Canopée,2012
3235,Cauhapé , Noblesse du temps,2019
3236,Cauhapé , La Canopée,2019
3033,Cave coopérative de Lirac,Cuvée Impériale,2016
3025,Cave de Tain,,2009
3025,Cave de Tain,,2014
3024,Cave de Tain,,2017
3029,Cave de Tain,,2010
3047,Caves de Saint Pierre,,2013
1034,Chanson , Beaune Bastion,2011
2961,Chapoutier « Les Arenes »,,2010
2680,Charles Joguet ,Les petites roches,2010
1128,Charly Nicolle,Les fourneaux,2016
859,château Belgrave,,2008
2769,Château Bellevue,,2005
2962,Château Bonserine,La Sarrasine,2012
870,Château Carbonnieux,,2012
866,château Cardinal,,2009
847,château Castaing,,2008
859,château Citran,,2008
871,Château Coquillas,,2016
879,Chateau Cos Labory,,2010
866,Chateau de Bonnaud,,2010
1654,Chateau de Chamilly,Les Puillets,2012
2473,Château de Ciffre,,2008
871,Château de France,,2015
871,Château de France,,2014
871,Château de France,,2013
871,Château de France,,2012
870,Château de France,,2016
2724,Chateau de la desoucherie,,2011
2472,Chateau de la liquière , Cistus,2013
838,château de Lagorce,,2005
653,Chateau de Lavernette ,Les vignes de la roche,2012
2790,Château de Parnay - Le clos,Le clos,2015
3219,Chateau de Plaisance ,Tot ço que Cal,2014
838,château de Reignac,,2007
2769,Chateau de Suronde,,2009
2769,Chateau de Suronde,,2010
2767,Château de Tracy,,2018
3238,Chateau de Viela , Expression,2013
2790,Chateau de Villeneuve , Le Grand Clos,2014
2678,Chateau du Coulaine,,2012
857,Chateau du Coureau,,2012
2790,Château du Hureau,Les Fevettes,2014
2790,Château du Hureau,Lisagathe,2015
2790,Château du Hureau,Tuffe,2015
2790,Château du Hureau,Les Fevettes,2011
2790,Château du Hureau, Tuffe,2011
811,Chateau du Moulin à vent,Croix des verillats,2011
811,Chateau du Moulin à vent,Les Terrasses du Château,2013
811,Château du Moulin à vent,Les Terrasses du Château,2016
3198,Chateau Eugénie ,Cuvée Reserve de l’Aïeul,2013
876,Chateau Fonroque,,1985
876,Château Fonroque,,2015
861,Chateau Fourcas Hosten,,2009
861,Chateau Fourcas Hosten,,2010
2954,Chateau Gigognan ,Clos du Roi,2010
2880,Chateau Grand Boise,,2012
876,Château Grand Corbin d'Espagne,,2007
871,Chateau haut Nouchet ,Arpege,2009
876,château Haut Rocher,,2005
879,Chateau Haut-Marbuzet,,2011
2453,Chateau La Bastide ,L’optimée,2011
2868,Château La Coste,,2017
865,Chateau La Tour Carnet Grand Cru,,2010
871,Chateau Lagarde,,2006
881,Chateau Lagrange,,2011
3198,Chateau Lamartine ,Cuvée Particulière,2012
871,Chateau Latour Martillac,,2005
842,Chateau Les Cèdres,,2006
840,château Mazeris,,2008
865,Chateau Noaillac Cru Bourgeois,,2009
871,Château Olivier,,2014
871,Chateau pape Clément,,2011
869,Château Pedesclaux,,2015
2528,Château Pepusques,Terre de Pepusque,2016
2528,Château Pepusques,Terres Fines,2015
2528,Chateau Pepusques ,Les cailloux Blancs,2010
2528,Chateau Pepusques ,Les cailloux Blancs,2009
2528,Chateau Pepusques ,Terre de Pepusque,2010
3065,Chateau Pesquié,,2012
869,Château Pontet Canet,Les hauts de Pontet-Canet,2005
867,Chateau Poujeaux,,2011
864,Chateau Prieuré Lichine,,2007
2687,Château Princé,,2015
2499,Chateau Puech-Haut ,Tete de Belier,2012
880,Château saint georges,,2018
857,Chateau Saint Robert,,2009
830,Chateau Talbot, Caillou Blanc,2009
830,Chateau Talbot, Caillou Blanc,2011
2534,Chateau WIALA,,2011
1435,Chofflet Valdenaire , Clos Jus,2013
2903,Clos Canarelli,,2017
3198,Clos d’un Jour,,2014
808,Clos de la Roilette ,,2019
2463,Clos des Fees,Sorcieres ,2019
2457,Clos des Fees,Sorcieres ,2018
2954,Clos du Mont Olivet,,2006
2954,Clos du Mont Olivet,,2007
