Bouteille_id,Date_deg,Commentaire
473,23/04/2020,Toujours aussi bon mais peut s'attendre 6 mois
474,20/09/2020,Toujours aussi bon mais peut s'attendre 6 mois
475,06/12/2020,Toujours aussi bon mais peut s'attendre 6 mois
476,15/10/2021,Toujours aussi bon mais peut s'attendre 6 mois
477,18/06/2016,"Contre 19 habituellement. Bon mais moins que le 2011 ? Oui, plus acide que le 2011. Mais bon."
478,16/12/2016,"Contre 19 habituellement. Bon mais moins que le 2011 ? Oui, plus acide que le 2011. Mais bon."
479,04/06/2017,"Contre 19 habituellement. Bon mais moins que le 2011 ? Oui, plus acide que le 2011. Mais bon."
480,20/01/2018,"Contre 19 habituellement. Bon mais moins que le 2011 ? Oui, plus acide que le 2011. Mais bon."
481,21/05/2018,"Contre 19 habituellement. Bon mais moins que le 2011 ? Oui, plus acide que le 2011. Mais bon."
482,03/11/2018,"Contre 19 habituellement. Bon mais moins que le 2011 ? Oui, plus acide que le 2011. Mais bon."
483,12/07/2018,Miam
484,15/03/2019,Miam
485,24/07/2019,Miam
486,01/09/2019,Miam
487,08/12/2019,Miam
488,20/01/2020,Miam
489,10/08/2017,Plus de nez que de bouche : bu un peu tard ?
490,03/11/2018,MIAM
491,26/12/2017,Bof
492,19/06/2020,"A attendre un peu mais fort bon : le ladoix est un bourgogne puissant. Super ! Deuxième bouteille très très bonne. A boire en 21-22. Très bon, à reprendre."
493,15/02/2021,"A attendre un peu mais fort bon : le ladoix est un bourgogne puissant. Super ! Deuxième bouteille très très bonne. A boire en 21-22. Très bon, à reprendre."
494,04/12/2021,"A attendre un peu mais fort bon : le ladoix est un bourgogne puissant. Super ! Deuxième bouteille très très bonne. A boire en 21-22. Très bon, à reprendre."
495,06/01/2017,"Bon, mais ouvert trop jeune. A rouvrir en 2018. Très bon en 2020 dans un style fruité."
496,20/05/2020,"Bon, mais ouvert trop jeune. A rouvrir en 2018. Très bon en 2020 dans un style fruité."
497,01/02/2022,"très bon, mais à attendre encore un peu… Deuxième bt très bonne, à boire assez chaud."
498,09/04/2022,"très bon, mais à attendre encore un peu… Deuxième bt très bonne, à boire assez chaud."
499,07/10/2016,très très bon...
500,14/03/2020,Très bon !
501,31/03/2016,<Bon mais sans prétention. Bien meilleur en 2018
502,15/12/2018,<Bon mais sans prétention. Bien meilleur en 2018
503,18/12/2021,"Très bon, tout simplement."
504,03/01/2016,Savagnin ouillé (élevé normalement). Ressemble à un chardonnay très vert. Sans grand interet : préferer une folle blanche pour le type de plats auquel ce vin semble cantonné.
505,25/06/2016,"70% chardonnay, 30% savagnin, élevage sous voile. 12 EUR. Très très bon, plein avec ce goût typique."
506,28/04/2018,"Gouté à Noël : paraît encore très jeune (bcp de nez, peu de bouche derrière l’acidité). Lui laisser deux ans, voire plus. Au final, bof."
507,15/04/2016,"8.90 la bouteille. Très bon, mais plus court que dans mon souvenir. A ouvrir une heure avant et servir un peu moins frais. Deuxieme bouteille : manque de caractère muscadet (pourrait passer pour un aligoté). Par contre rapport q/p +++ si l’on ne cherche pas la typicité"
508,07/10/2017,"8.90 la bouteille. Très bon, mais plus court que dans mon souvenir. A ouvrir une heure avant et servir un peu moins frais. Deuxieme bouteille : manque de caractère muscadet (pourrait passer pour un aligoté). Par contre rapport q/p +++ si l’on ne cherche pas la typicité"
509,27/03/2015,"Bon, mais petit manque de caractère. Par contre, accord parfait avec du poisson et des moules marinieres."
510,12/09/2016,"Bon, mais petit manque de caractère. Par contre, accord parfait avec du poisson et des moules marinieres."
