Cuvee,Provenance,statut,Cave,Ajouté_le,Emplacement,Prix
1, vente à la propriété.com,à boire,4,06/02/2020,Clayette 1 & 6,"19,00"
1, vente à la propriété.com,à boire,4,06/02/2020,Clayette 1 & 6,"19,00"
12,Soirée 01/01/18 Jean-Rémi,à boire,4,01/01/2018,Clayette 9,"0,00"
14,Salon Vignerons Independants,à boire,4,02/12/2021,,"12,70"
14,Salon Vignerons Independants,à boire,4,02/12/2021,,"12,70"
14,Salon Vignerons Independants,à boire,4,02/12/2021,,"12,70"
14,Salon Vignerons Independants,à boire,4,02/12/2021,,"12,70"
15,Salon Vignerons Independants,à boire,4,02/12/2021,,"21,70"
15,Salon Vignerons Independants,à boire,4,02/12/2021,,"21,70"
15,Salon Vignerons Independants,à boire,4,02/12/2021,,"21,70"
16,Salon Vignerons Independants,à boire,4,02/12/2021,,"21,70"
16,Salon Vignerons Independants,à boire,4,02/12/2021,,"21,70"
16,Salon Vignerons Independants,à boire,4,02/12/2021,,"21,70"
18,Achat Caviste Avril 14,à boire,4,16/04/2014,Clayette 7,"20,00"
18,Achat Caviste Avril 14,à boire,4,16/04/2014,Clayette 7,"20,00"
23,Salon Vignerons Independants,à boire,4,02/12/2021,,"32,00"
23,Salon Vignerons Independants,à boire,4,02/12/2021,,"32,00"
23,Salon Vignerons Independants,à boire,4,02/12/2021,,"32,00"
24,Salon Vignerons Independants,à boire,4,02/12/2021,,"10,60"
24,Salon Vignerons Independants,à boire,4,02/12/2021,,"10,60"
24,Salon Vignerons Independants,à boire,4,02/12/2021,,"10,60"
24,Salon Vignerons Independants,à boire,4,02/12/2021,,"10,60"
25,Achats Vignerons Indep Avril 2015,à boire,4,12/05/2015,Clayette 4,"37,00"
27,Achats Vignerons Indep Avril 2015,à boire,4,12/05/2015,Clayette 4,"18,00"
30,Achat 1j1V Nov 2016,à boire,4,17/12/2016,Clayette 9,"14,00"
31,Salon Vignerons Independants,à boire,4,02/12/2021,,"13,00"
31,Salon Vignerons Independants,à boire,4,02/12/2021,,"13,00"
31,Salon Vignerons Independants,à boire,4,02/12/2021,,"13,00"
32,Salon Vignerons Independants,à boire,4,02/12/2021,,"32,00"
32,Salon Vignerons Independants,à boire,4,02/12/2021,,"32,00"
32,Salon Vignerons Independants,à boire,4,02/12/2021,,"32,00"
37,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"42,00"
38,Salon Vignerons Independants,à boire,4,29/11/2019,Clayette 9,"18,50"
38,Salon Vignerons Independants,à boire,4,29/11/2019,Clayette 9,"18,50"
38,Salon Vignerons Independants,à boire,4,29/11/2019,Clayette 9,"18,50"
38,Salon Vignerons Independants,à boire,4,29/11/2019,Clayette 9,"18,50€"
38,Salon Vignerons Independants,à boire,4,29/11/2019,Clayette 9,"18,50€"
44,Route des Vins,à boire,4,16/04/2014,Clayette 7,"13,00€"
44,Route des Vins,à boire,4,16/04/2014,Clayette 7,"13,00€"
44,Route des Vins,à boire,4,16/04/2014,Clayette 7,"13,00€"
44,Route des Vins,à boire,4,16/04/2014,Clayette 7,"13,00€"
46,Route des Vins,à boire,4,16/04/2014,Clayette 1,"7,50€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
49,Salon Vignerons Independants,à boire,4,28/04/2017,Clayette 9,"29,00€"
