Bouteille_id,Date_deg,Commentaire
1177,23/04/2020,Toujours aussi bon mais peut s'attendre 6 mois
1178,20/09/2020,Toujours aussi bon mais peut s'attendre 6 mois
1179,06/12/2020,Toujours aussi bon
1180,15/10/2021,Accord à trouver
1181,18/06/2016,Acide !
1182,16/12/2016,En fait ça va
1183,04/06/2017,Si il est acide
1184,20/01/2018,ça dépend avec quoi
1185,21/05/2018,Débouchera l'évier
1186,03/11/2018,Ben finalement...
1187,12/07/2018,Miam
1188,15/03/2019,Miam
1189,24/07/2019,Miam
1190,01/09/2019,Miam
1191,08/12/2019,Miam
1192,20/01/2020,Miam
1193,10/08/2017,Plus de nez que de bouche : bu un peu tard ?
1194,03/11/2018,MIAM
1195,26/12/2017,Bof
1196,19/06/2020,A attendre un peu mais fort bon : le ladoix est un bourgogne puissant. 
1197,15/02/2021,Deuxième bouteille excellente
1198,04/12/2021,"Très bon, à reprendre."
1199,06/01/2017,"Bon, mais ouvert trop jeune. A rouvrir en 2018."
1200,20/05/2020,Très bon en 2020 dans un style fruité.
1201,01/02/2022,"très bon, mais à attendre encore un peu… Deuxième bt très bonne, à boire assez chaud."
1202,09/04/2022,"très bon, mais à attendre encore un peu… Deuxième bt très bonne, à boire assez chaud."
1203,07/10/2016,très très bon...
1204,14/03/2020,Très bon !
1205,31/03/2016,<Bon mais sans prétention. Bien meilleur en 2018
1206,15/12/2018,<Bon mais sans prétention. Bien meilleur en 2018
1207,18/12/2021,"Très bon, tout simplement."
1208,03/01/2016,Savagnin ouillé (élevé normalement). Ressemble à un chardonnay très vert. Sans grand interet : préferer une folle blanche pour le type de plats auquel ce vin semble cantonné.
1209,25/06/2016,"70% chardonnay, 30% savagnin, élevage sous voile. Très très bon, plein avec ce goût typique."
1210,28/04/2018,"Gouté à Noël : paraît encore très jeune (bcp de nez, peu de bouche derrière l’acidité). Lui laisser deux ans, voire plus. Au final, bof."
1211,15/04/2016," Très bon, mais plus court que dans mon souvenir. A ouvrir une heure avant et servir un peu moins frais."
1212,07/10/2017,manque de caractère muscadet (pourrait passer pour un aligoté). Par contre rapport q/p +++ si l’on ne cherche pas la typicité
1213,27/03/2015,"Bon, mais petit manque de caractère. Par contre, accord parfait avec du poisson et des moules marinieres."
1214,12/09/2016,"Bon, mais petit manque de caractère. Par contre, accord parfait avec du poisson et des moules marinieres."
